identifier,abs_difference,raw_difference,reason
38721346,0.82,0.82,ttr_form_chunks_100
40111107,0.79,0.79,ttr_form_chunks_100
40086052,0.79,0.79,ttr_form_chunks_100
40705649,0.78,0.78,ttr_form_chunks_100
39911035,0.76,0.76,ttr_form_chunks_100
40112183,0.74,0.74,ttr_form_chunks_100
39051371,0.73,0.73,ttr_form_chunks_100
40618639,0.73,0.73,ttr_form_chunks_100
40691863,0.73,0.73,ttr_form_chunks_100
40417076,0.71,0.71,ttr_form_chunks_100
38660921,0.7,0.7,ttr_form_chunks_100
38847295,0.65,-0.65,ttr_form_chunks_100
40371547,0.59,-0.59,ttr_form_chunks_100
36998637,0.58,0.58,ttr_form_chunks_100
19669537,0.55,0.55,ttr_form_chunks_100
40134121,0.54,0.54,ttr_form_chunks_100
38768805,0.54,-0.54,ttr_form_chunks_100
34140302,0.54,0.54,ttr_form_chunks_100
34271712,0.54,0.54,ttr_form_chunks_100
35444828,0.54,0.54,ttr_form_chunks_100
36764448,0.53,0.53,ttr_form_chunks_100
38969290,0.51,0.51,ttr_form_chunks_100
37410355,0.48,0.48,ttr_form_chunks_100
36398858,0.47,0.47,ttr_form_chunks_100
39601300,0.47,0.47,ttr_form_chunks_100
35913294,0.46,0.46,ttr_form_chunks_100
38492164,0.45,0.45,ttr_form_chunks_100
35848258,0.44,0.44,ttr_form_chunks_100
38995262,0.43999999999999995,0.43999999999999995,ttr_form_chunks_100
24532377,0.43000000000000005,0.43000000000000005,ttr_form_chunks_100
36242851,0.43,0.43,ttr_form_chunks_100
39167178,0.42,0.42,ttr_form_chunks_100
36022907,0.41999999999999993,0.41999999999999993,ttr_form_chunks_100
32108045,0.41,0.41,ttr_form_chunks_100
18936657,0.41,-0.41,ttr_form_chunks_100
25299902,0.41,-0.41,ttr_form_chunks_100
38670622,0.38000000000000006,0.38000000000000006,ttr_form_chunks_100
40706616,0.37999999999999995,0.37999999999999995,ttr_form_chunks_100
40145120,0.37999999999999995,0.37999999999999995,ttr_form_chunks_100
39998109,0.37,0.37,ttr_form_chunks_100
39671675,0.37,0.37,ttr_form_chunks_100
39352435,0.36000000000000004,0.36000000000000004,ttr_form_chunks_100
39926698,0.36,0.36,ttr_form_chunks_100
35736684,0.35999999999999993,0.35999999999999993,ttr_form_chunks_100
40593571,0.35000000000000003,0.35000000000000003,ttr_form_chunks_100
38858708,0.35,0.35,ttr_form_chunks_100
40550025,0.35,0.35,ttr_form_chunks_100
39313248,0.35,-0.35,ttr_form_chunks_100
38570250,0.35,0.35,ttr_form_chunks_100
26761798,0.34,0.34,ttr_form_chunks_100
40405681,0.34,0.34,ttr_form_chunks_100
40340803,0.34,0.34,ttr_form_chunks_100
36477785,0.33000000000000007,0.33000000000000007,ttr_form_chunks_100
40563590,0.33000000000000007,0.33000000000000007,ttr_form_chunks_100
39131772,0.33,0.33,ttr_form_chunks_100
30374855,0.32999999999999996,0.32999999999999996,ttr_form_chunks_100
34962285,0.32999999999999996,0.32999999999999996,ttr_form_chunks_100
39940796,0.32000000000000006,0.32000000000000006,ttr_form_chunks_100
39307163,0.32000000000000006,0.32000000000000006,ttr_form_chunks_100
38505214,0.32,0.32,ttr_form_chunks_100
40180136,0.32,0.32,ttr_form_chunks_100
40270152,0.32,0.32,ttr_form_chunks_100
36485613,0.32,0.32,ttr_form_chunks_100
39384420,0.31999999999999995,0.31999999999999995,ttr_form_chunks_100
36035718,0.31000000000000005,0.31000000000000005,ttr_form_chunks_100
35768068,0.31000000000000005,0.31000000000000005,ttr_form_chunks_100
34566964,0.31000000000000005,0.31000000000000005,ttr_form_chunks_100
38520687,0.31000000000000005,0.31000000000000005,ttr_form_chunks_100
39320344,0.31000000000000005,0.31000000000000005,ttr_form_chunks_100
39933396,0.31,0.31,ttr_form_chunks_100
39197535,0.31,0.31,ttr_form_chunks_100
33847100,0.31,0.31,ttr_form_chunks_100
38738255,0.31,0.31,ttr_form_chunks_100
39320032,0.31,0.31,ttr_form_chunks_100
33020957,0.31,0.31,ttr_form_chunks_100
32171577,0.30999999999999994,0.30999999999999994,ttr_form_chunks_100
38856151,0.30000000000000004,0.30000000000000004,ttr_form_chunks_100
39083092,0.3,0.3,ttr_form_chunks_100
41002493,0.3,0.3,ttr_form_chunks_100
38226607,0.3,-0.3,ttr_form_chunks_100
39941139,0.3,0.3,ttr_form_chunks_100
39640744,0.29000000000000004,0.29000000000000004,ttr_form_chunks_100
39977734,0.29000000000000004,0.29000000000000004,ttr_form_chunks_100
34800243,0.29000000000000004,-0.29000000000000004,ttr_form_chunks_100
33121383,0.29000000000000004,0.29000000000000004,ttr_form_chunks_100
39181572,0.29,0.29,ttr_form_chunks_100
38854795,0.29,0.29,ttr_form_chunks_100
40613279,0.29,0.29,ttr_form_chunks_100
40268271,0.28,0.28,ttr_form_chunks_100
39147024,0.28,0.28,ttr_form_chunks_100
25989700,0.28,0.28,ttr_form_chunks_100
12409700,0.28,0.28,ttr_form_chunks_100
38542773,0.28,0.28,ttr_form_chunks_100
32277179,0.28,0.28,ttr_form_chunks_100
15399909,0.28,0.28,ttr_form_chunks_100
36734568,0.28,0.28,ttr_form_chunks_100
23710359,0.27999999999999997,-0.27999999999999997,ttr_form_chunks_100
27981658,0.27,0.27,ttr_form_chunks_100
38099384,0.27,0.27,ttr_form_chunks_100
40421611,0.27,0.27,ttr_form_chunks_100
39138406,0.27,0.27,ttr_form_chunks_100
39953280,0.27,0.27,ttr_form_chunks_100
39236028,0.27,0.27,ttr_form_chunks_100
30044418,0.27,0.27,ttr_form_chunks_100
38311370,0.27,0.27,ttr_form_chunks_100
33059534,0.2699999999999999,0.2699999999999999,ttr_form_chunks_100
40543568,0.26,0.26,ttr_form_chunks_100
38847225,0.26,0.26,ttr_form_chunks_100
32117981,0.26,0.26,ttr_form_chunks_100
38827390,0.26,0.26,ttr_form_chunks_100
39206964,0.26,0.26,ttr_form_chunks_100
28802254,0.26,0.26,ttr_form_chunks_100
32007169,0.26,0.26,ttr_form_chunks_100
32253258,0.26,0.26,ttr_form_chunks_100
38312625,0.26,0.26,ttr_form_chunks_100
39814446,0.26,0.26,ttr_form_chunks_100
32069689,0.26,0.26,ttr_form_chunks_100
36069134,0.26,0.26,ttr_form_chunks_100
26960502,0.26,0.26,ttr_form_chunks_100
