identifier,abs_difference,raw_difference,normalized_diff_old_mean,reason
35647945,2.3623099839584447,-2.3623099839584447,0.01641822411969313,upos_dist_SYM
33089259,2.109704641350211,2.109704641350211,0.042062750406612545,upos_dist_SYM
36340447,2.0408163265306123,2.0408163265306123,0.04146749036959775,upos_dist_SYM
23692730,2.0080321285140563,2.0080321285140563,0.05208444158681609,upos_dist_SYM
38030531,1.7543859649122806,-1.7543859649122806,0.03352189299509519,upos_dist_SYM
38907233,1.7543859649122806,1.7543859649122806,0.05360635121221084,upos_dist_SYM
32523802,1.727512704940112,-1.727512704940112,0.038222925815625156,upos_dist_SYM
10621931,1.692050209205021,-1.692050209205021,0.034904406835940226,upos_dist_SYM
34612544,1.680672268907563,-1.680672268907563,0.03579134654703743,upos_dist_SYM
35691019,1.6666666666666667,-1.6666666666666667,0.040817459373176504,upos_dist_SYM
37114103,1.6541487839771098,1.6541487839771098,0.03245029067337313,upos_dist_SYM
31527884,1.646090534979424,-1.646090534979424,0.03690340606665787,upos_dist_SYM
36515167,1.646090534979424,-1.646090534979424,0.04139580466182164,upos_dist_SYM
35658107,1.639344262295082,1.639344262295082,0.039189481986979594,upos_dist_SYM
21937746,1.6374451014973892,-1.6374451014973892,0.03551972145082146,upos_dist_SYM
38969970,1.6326530612244898,-1.6326530612244898,0.04593539117748801,upos_dist_SYM
30943518,1.6063467086283763,1.6063467086283763,0.026360215218750527,upos_dist_SYM
35645821,1.6,-1.6,0.029518178554431635,upos_dist_SYM
30596386,1.5844927182491255,-1.5844927182491255,0.03742343545685563,upos_dist_SYM
33729159,1.550387596899225,-1.550387596899225,0.047207505534773334,upos_dist_SYM
40370051,1.5393744172247183,-1.5393744172247183,0.03190424368183602,upos_dist_SYM
37162985,1.3913886196871106,1.3913886196871106,0.025090783188033726,upos_dist_SYM
35492273,1.3824884792626728,-1.3824884792626728,0.04090994332364523,upos_dist_SYM
34138179,1.3636363636363635,1.3636363636363635,0.05199600079082896,upos_dist_SYM
33270614,1.3636363636363635,1.3636363636363635,0.027834562706546745,upos_dist_SYM
25298461,1.358388870679923,1.358388870679923,0.061607028523966566,upos_dist_SYM
39967486,1.3423728813559321,1.3423728813559321,0.03343276040312133,upos_dist_SYM
36626699,1.3392857142857142,1.3392857142857142,0.016186699185484495,upos_dist_SYM
29439924,1.3388239800804447,-1.3388239800804447,0.045523023795126016,upos_dist_SYM
29380448,1.3333333333333333,-1.3333333333333333,0.04611422249106071,upos_dist_SYM
29894021,1.3215859030837005,-1.3215859030837005,0.029433546770372476,upos_dist_SYM
37518650,1.3215859030837005,-1.3215859030837005,0.041130041855654116,upos_dist_SYM
