,coef
sparked,9.485106282929793
expressed,8.44926564175003
significant,7.9604649745277225
despite,5.302107325159831
including,4.539550129534608
saying,4.49326368615059
recent,3.731001733673954
looking,3.4719647784854235
concerns,3.3899765080575586
expected,3.3797453571200884
remain,3.2483582619371454
provide,2.9377539235077137
impact,2.9372112176988976
victory,2.875157833984573
major,2.865555255962163
seen,2.7277195285657805
coming,2.7198613401197305
old,2.7029290755199833
key,2.487600343885332
need,2.383540594207768
investigation,2.3737508147694775
according,2.2527210792703047
strong,2.1389821692613777
working,2.056499059716414
incident,2.0531006805354752
come,1.8247134542435919
hard,1.8143881870546352
likely,1.7022372352633663
lead,1.6585966615387602
increase,1.4360208816250877
social,1.3655876354234104
team,1.3391824658660592
decision,1.322794137341402
remains,1.3150510827135227
community,1.2720475385848322
uk,1.246823227476452
set,1.2452948753801607
country,1.2435775519755066
just,1.2398979465983098
issue,1.2264715266979378
fans,1.2117319271458755
role,1.186109685956144
ve,1.1840894211532658
continue,1.1695108359221362
action,1.1539769434868918
family,1.1393218622693162
announced,1.1261343311446603
potential,1.0240255300649745
manager,1.0196892272620117
local,1.0148604897518967
taking,0.9514853146562074
face,0.9327229312022635
life,0.8502625986585858
match,0.8305428274420823
support,0.8173229852935184
making,0.8161302307409715
attack,0.7725067757232099
british,0.6418046517422542
long,0.6102448240722202
region,0.5397323338541138
forward,0.5375440890433942
young,0.4836528349799549
make,0.4808240165239788
past,0.4732090186277945
left,0.4709070818785481
evidence,0.45453178333876953
win,0.44989019840081423
series,0.4040104216535443
event,0.38040238204489807
court,0.3541906638483723
taken,0.3351369245870828
campaign,0.32556849056891396
high,0.29169101673575937
million,0.28451315648066966
safety,0.2296797010822028
future,0.21622728405201952
death,0.21030475975144636
result,0.20686913596600684
led,0.18928401874700523
groups,0.18044565950018704
attempt,0.16783157029017665
clear,0.1376554182050525
known,0.09510592754337943
weeks,0.06366094899707181
pay,0.04309685055995821
government,0.007950539999046241
party,-0.056942702807165374
player,-0.06091503744162424
box,-0.06321554057935486
great,-0.08440766556674144
home,-0.11861517048247613
took,-0.11957460532655113
industry,-0.14325525849381998
rights,-0.18738971898214135
authorities,-0.20379112995123105
help,-0.23412598344175078
sport,-0.2749085238645439
staff,-0.2750949040021172
plans,-0.3042557732139177
company,-0.32315331922337504
season,-0.33057238869641864
union,-0.34587421357418424
got,-0.35599871948092626
national,-0.3567269754209067
health,-0.4118954984001144
held,-0.41921634523686835
scottish,-0.4234028557105911
players,-0.431697732699683
place,-0.438401773122185
league,-0.4407261976115859
welsh,-0.45112261683147187
public,-0.4674108845171113
case,-0.46917168956779864
able,-0.4801835210487255
report,-0.48179623196862575
world,-0.48883776469357504
city,-0.5172231925011854
given,-0.5462323437203529
children,-0.5647390224582873
goal,-0.564905065925173
group,-0.567338833221884
service,-0.592053478680678
football,-0.6063189212788076
way,-0.610865619423776
think,-0.6150245800403796
corner,-0.6169944708031568
game,-0.6254384800298561
close,-0.6256650083966393
european,-0.6419673229278667
police,-0.642458051997545
london,-0.6425526257209342
northern,-0.6800783384471147
new,-0.700442056439396
used,-0.7211222130083668
leader,-0.7216514365723123
international,-0.7366448516498416
services,-0.742638469604993
women,-0.7497154834458579
trump,-0.764066181449008
information,-0.7779742792342615
shot,-0.7905416958271734
labour,-0.8032927052574956
office,-0.8152046486945509
work,-0.8184566032953056
power,-0.8197822398427187
use,-0.8259514070235054
economic,-0.8262499217973328
areas,-0.8320939159197008
england,-0.8411561587848474
number,-0.8442267897058391
town,-0.8458386677568056
hospital,-0.8571784025620327
centre,-0.8591817165760076
start,-0.8653417396754811
election,-0.9491659930994659
played,-0.9614204462132624
club,-0.985063408310729
free,-1.0047227511529442
united,-1.015217288973055
wales,-1.0556076227132158
care,-1.0603639172203079
cup,-1.0693783765623237
security,-1.0820954597248837
best,-1.091309463237412
school,-1.1107577691807617
man,-1.1588807189802666
deal,-1.213951248920347
early,-1.2558273207198662
market,-1.2887362792064518
know,-1.2974225422509842
end,-1.3375477964780296
ireland,-1.3720409588801128
months,-1.379777716227595
university,-1.4001168556165728
head,-1.4279705368509097
north,-1.4389973873047652
west,-1.4549112839921898
minister,-1.4577180678644464
far,-1.4834494219404637
area,-1.486487292927344
men,-1.4879742888429541
going,-1.500183437992471
away,-1.5171746360851077
run,-1.52030324158416
scotland,-1.5255641252568841
people,-1.5497254177098931
eu,-1.6072254974573763
kick,-1.6409629346352188
president,-1.6445680898484436
business,-1.6486300568215337
economy,-1.65936154592191
change,-1.6765546177026414
house,-1.6890509397944566
council,-1.7172561366846086
days,-1.7710658206237853
countries,-1.7757772990078988
000,-1.8061496724671906
state,-1.8150956233820883
games,-1.817535985802266
good,-1.8254612197978943
later,-1.833066827574112
points,-1.8504492548897393
ahead,-1.893445382533993
final,-1.9363203260648574
half,-1.9482156535810888
media,-1.9785898597060256
years,-1.986884299198866
point,-1.9973058882409753
south,-2.005792268232948
times,-2.0522756436529255
money,-2.0558886530135116
better,-2.081870089162858
right,-2.11796776943612
came,-2.1286205996166796
called,-2.1587598366321816
20,-2.1652173602571723
play,-2.2094992593830196
based,-2.2294971658982887
wins,-2.2413840593021424
outside,-2.247720058780212
time,-2.2514937411585474
want,-2.276220182123453
members,-2.311398733175695
day,-2.3223076166721333
following,-2.3257883754925714
statement,-2.4744487755510387
having,-2.480022192020822
10,-2.5413123886818263
won,-2.664376339304697
2015,-2.70858840487498
second,-2.726839963110344
ms,-2.793193601729361
news,-2.902565424259867
chief,-2.9126908105393126
year,-3.186917440296804
2014,-3.2297794437927436
bbc,-3.2408783401561387
don,-3.461568383213787
like,-3.7273184862756086
mr,-3.762526478551599
foul,-3.872805167293697
really,-4.104713056463146
week,-4.1376799972487035
month,-4.183586341740943
did,-4.773915739505702
say,-5.140303419271049
told,-5.156261796265824
added,-6.554456269473833
says,-8.418425779259344
said,-10.580633184356698
